dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,33754-07,23,0.345581172,0.102051026,1.370075522,364,2.2508,0,1.2736,0.97727,0,0,0,0
HeadAndNeck,33754-07,24,0.376442501,0.111805903,1.238978121,420,2.2508,0,1.7258,0.52502,0,0,0,0
HeadAndNeck,33754-07,25,0.378190916,0.109554777,1.367504693,379.1111111,2.2508,0,1.0141,1.2367,0.02536,0,0.011267105,0.011267105
HeadAndNeck,33754-07,26,0.598497697,0.085542771,1.356597026,337.7777778,2.2508,0,1.4497,0.8011,0,0,0,0
HeadAndNeck,33754-07,27,0.434802596,0.108804402,1.562823433,324,2.2508,0,1.4283,0.82253,0,0,0,0
HeadAndNeck,33754-07,29,0.039201398,0.38044022,3.663579013,57.33333333,2.2508,0,1.9782,0.27267,0,0,0,0
HeadAndNeck,33754-07,30,0.10387181,0.162081041,1.681420108,235.5555556,2.2508,0,1.5713,0.67955,0,0,0,0
HeadAndNeck,33754-07,31,0.031751736,0.130565283,1.348282463,460,2.2508,0,1.2405,1.0104,0,0,0,0
HeadAndNeck,33754-07,32,0.313212668,0.119309655,1.249348854,402.6666667,2.2508,0,1.7101,0.54076,0,0,0,0
HeadAndNeck,33754-07,33,0.125153336,0.122311156,1.270690132,371.1111111,2.2508,0,1.7917,0.45919,0,0,0,0
HeadAndNeck,33754-07,34,1,0.087043522,1.250463274,303.5555556,2.2508,0,1.6832,0.56768,0,0,0,0
HeadAndNeck,33754-07,35,0.353927078,0.111055528,1.154230518,413.3333333,2.2508,0,1.83,0.42084,0,0,0,0
HeadAndNeck,33754-07,36,0.407894113,0.086293147,1.287424752,433.7777778,2.2508,0,1.7433,0.50752,0,0,0,0
HeadAndNeck,33754-07,37,0.0657417,0.164332166,1.618725291,411.1111111,2.2508,0,1.1652,1.0856,0,0,0,0
HeadAndNeck,33754-07,39,0.690551155,0.090795398,1.205100841,419.5555556,2.2508,0,1.774,0.47688,0.0016259,0,0.000722365,0.000722365
HeadAndNeck,33754-07,40,0.238879136,0.111805903,1.205302881,386.6666667,2.2508,0,1.5701,0.68071,0,0,0,0
HeadAndNeck,33754-07,41,0.156534547,0.130565283,1.479211297,304.4444444,2.2508,0,1.2484,1.0024,0,0,0,0
HeadAndNeck,33754-07,42,0.721388854,0.078789395,1.185165771,372,2.2508,0,1.5152,0.7356,0,0,0,0
HeadAndNeck,33754-07,43,0.185165307,0.102051026,1.306820145,392.4444444,2.2508,0,1.4438,0.80708,0,0,0,0
HeadAndNeck,33754-07,44,0.413345128,0.09829915,1.272855639,348.8888889,2.2508,0,1.5357,0.71511,0.00077092,0,0.000342509,0.000342509
HeadAndNeck,33754-07,45,0.062402628,0.486993497,2.45083436,151.5555556,2.2508,0,1.7811,0.4697,0,0,0,0
HeadAndNeck,33754-07,46,0.007652404,0.369934967,1.905900424,361.7777778,1.7496,0.50129,1.1146,0.63497,0.0013481,0.222707462,0.000598919,0.223306381
HeadAndNeck,33754-07,47,0.156749071,0.132816408,1.375007996,456.4444444,2.2372,0.013674,0.92007,1.3171,0,0.006074974,0,0.006074974
HeadAndNeck,33754-07,48,0.222887735,0.120810405,1.598572472,222.6666667,2.2508,0,1.6407,0.61015,0,0,0,0
HeadAndNeck,33754-07,49,0.188464337,0.096798399,1.353488068,434.2222222,2.2508,0,1.6605,0.59037,0.0027352,0,0.001215212,0.001215212
HeadAndNeck,33754-07,50,1,0.082541271,1.153955597,347.1111111,2.2508,0,1.6727,0.57818,0,0,0,0
HeadAndNeck,33754-07,51,0.089632992,0.177838919,1.401479994,241.7777778,2.2508,0,1.3707,0.88018,0,0,0,0
HeadAndNeck,33754-07,52,0.038601926,0.206353177,1.323659425,357.3333333,2.2508,0,1.8151,0.43579,0.10374,0,0.046090279,0.046090279
